S. NO.,DISTRICT,SCHOOL LIST,DEPARTMENT,ADDRESS
1,AGRA,"RAJKIYA INTER COLLEGE, AGRA",Basic Education,dahtora bicpuri agra
2,AGRA,"RAJKIYA BALIKA INTER COLLEGE, VIJAY NAGAR",Basic Education,No.Sohanlal Bichpuri Agra
3,AGRA,"RAJKIYA BALIKA INTER COLLEGE, NAINAJAT",Basic Education,Kailash Bichpuri Agra
4,AGRA,"RAJKIYA BALIKA INTER COLLEGE, AWALAKHEDA",Basic Education,baipur bicpuri agra
5,AGRA,"RAJKIYA BALIKA INTER COLLEGE, KALALKHERIYA",Basic Education,pathauli bicpuri agra
6,AGRA,"RAJKIYA BALIKA INTER COLLEGE, KHERAGARH",Basic Education,pathauli bicpuri agra
7,AGRA,"RAJKIYA BALIKA INTER COLLEGE, GARICHANDRAMAN",Basic Education,baipur bicpuri agra
8,AGRA,"RAJKIYA INTER COLLEGE, KACHPURA",Basic Education,dahtora bicpuri agra
9,AGRA,"RAJKIYA HIGH SCHOOL , GANGRAUA",Basic Education,pathauli bicpuri agra
10,AGRA,"RAJKIYA HIGH SCHOOL, BARTAI",Basic Education,pathauli2bichpuri agra
11,AGRA,"RAJKIYA HIGH SCHOOL, JAI NAGAR",Basic Education,Tora Village Barauli Ahir Agra
12,AGRA,"RAJKIYA HIGH SCHOOL, VARNA",Basic Education,Miyapur Barauli Ahir
13,AGRA,"RAJKIYA HIGH SCHOOL, NAGLA JAUHARI",Basic Education,Kalal Khedia Bamroli Katra Agra
14,AGRA,"RAJKIYA HIGH SCHOOL, CHAUMA SHAHPUR",Basic Education,Primary School Budhera Post Shyamon Agra
15,AGRA,"RAJKIYA HIGH SCHOOL, RICHOHA",Basic Education,Barauli Ahir Shamshabad Road Agra
16,AGRA,"RAJKIYA HIGH SCHOOL, BATESHWAR",Basic Education,Ku Akheda Bamrauli Katara Barauli Ahir Agra
17,AGRA,"RAJKIYA HIGH SCHOOL, BALHERA",Basic Education,Lakawali Village Barauli Ahir Agra
18,AGRA,"RAJKIYA HIGH SCHOOL, RAIBHA",Basic Education,Ramnagar Village Barauli Ahir Agra
19,AGRA,"RAJKIYA HIGH SCHOOL, DIGNER",Basic Education,Shahganj Agra
20,AGRA,"RAJKIYA HIGH SCHOOL, JAUPURA",Basic Education,Kothi Meena Bazar field opposite Maharaj Agrasen Vatika Agra
21,AGRA,"RAJKIYA HIGH SCHOOL, BAHARA MAU",Basic Education,Village Badkhera Development Block Akola
22,AGRA,"RAJKIYA HIGH SCHOOL, MITAWALI",Basic Education,Village Sandhan Post Sandhan Achnera
23,AGRA,"RAJKIYA HIGH SCHOOL, OLANDA",Basic Education,tajganj agra
24,AGRA,"RAJKIYA HIGH SCHOOL, CHANDSAURA",Basic Education,Village Kahrai Development Block Barauli Ahir
25,AGRA,"RAJKIYA HIGH SCHOOL, HAZIPUR KHEDA",Basic Education,Nanpur development block Bichpur
26,AGRA,"RAJKIYA HIGH SCHOOL, SAIMARA",Basic Education,Bahrampur Etamadpur
27,AGRA,"RAJKIYA HIGH SCHOOL, SAVORA AUNDH",Basic Education,P.M. Karhak
28,AGRA,"RAJKIYA HIGH SCHOOL, KORAKALA",Basic Education,Karhki Jagner
29,AGRA,"RAJKIYA HIGH SCHOOL, TEHARA",Basic Education,Village Gopalpura Development Block Jaitpur Kalan
30,AGRA,"RAJKIYA HIGH SCHOOL, ABHAIDOPURA",Basic Education,Pantkhera Khandoli
31,AGRA,"RAJKIYA HIGH SCHOOL, KUSHALPURA",Basic Education,gautam nagar yamuna bridge agra
32,AGRA,"RAJKIYA HIGH SCHOOL, NANDAPURA",Basic Education,Saunpur Cheat Kheragarh
33,AGRA,"RAJKIYA HIGH SCHOOL, CHITRAHAT",Basic Education,Serab Pinahat Tehsil Bah
34,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, MIDHAKUR",Basic Education,Saura Saiyan
35,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, SADHAN",Basic Education,Jarauli Samsabad
36,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, SAIMARA",secondary education,shahganj panchkuiyan agra
37,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, BIJHAMAI",secondary education,"Opposite Shahganj Diet, Agra"
38,AGRA,"PT. D D U RAJKIYA MODEL INTER COLLEGE, MANKEDHA",secondary education,"Opposite Loha Mandi Police Station, Agra"
39,AGRA,"ABHINAV VIDDYALAY, BIJHOLI BAAH",secondary education,Midhakur development block Vichup Agra
40,AGRA,"SHRI RATN MUNI JAIN INTER COLLEGE, LOHA MANDI",secondary education,Mankeda Akola Agra
41,AGRA,"PRATHAMIK VIDDYALAY, LARAMADA",secondary education,saimra khandauli agra
42,AGRA,"PRATHAMIK VIDDYALAY, RUNAKTA PRATHAM",secondary education,Kalal Kheria Fatehabad Road Agra
43,AGRA,"PRATHAMIK VIDDYALAY, NAGALA REWATI",secondary education,Nananajat Gwalior Road Agra
44,AGRA,"PRATHAMIK VIDDYALAY, MALPURA",secondary education,awal kheda mudi chauraha agra
45,AGRA,"PRATHAMIK VIDDYALAY, BHAGPUR",secondary education,awal kheda mudi chauraha agra
46,AGRA,"PRATHAMIK VIDDYALAY, SAIMARA",secondary education,Sai ki takiya square Agra
47,AGRA,"PRATHAMIK VIDDYALAY, BALUGANJ",secondary education,Mall Road Sadar Agra
48,AGRA,"PRATHAMIK VIDDYALAY, CHIPITOLA",secondary education,tajganj agra
49,AGRA,"PRATHAMIK VIDDYALAY, NAWALPUR",secondary education,Baghmuzzafar Khan Agra
50,AGRA,"PRATHAMIK VIDDYALAY, TORA",secondary education,Near Sursadan Church Road Agra
51,AGRA,P S AHRAN PRATHAM,Basic Education,Akarabad No.2
52,AGRA,P S GADHI BHANDAR,Basic Education,Jirauli Hira Singh
53,AGRA,P S MAHAVAT PUR,Basic Education,Bhilawali
54,AGRA,COMPOSITE VIDYALAYA TEDI BAGHIYA,Basic Education,TohramodAkarabad
55,AGRA,P S SATI NAGAR,Basic Education,Ganiyawali
56,AGRA,P S NAGLA TEEN,Basic Education,Sindhuli
57,AGRA,P S MAGHTAI,Basic Education,without any
58,AGRA,P S BICHPURI,Basic Education,four-way
59,AGRA,P S KALVARI,Basic Education,Barhaul
60,AGRA,P S NAGLA JODHNA,Basic Education,Nagla Muslim
61,AGRA,P S BHOJPUR,Basic Education,Proven
62,AGRA,P S BAKAL PUR,Basic Education,Sirsa
63,AGRA,P S SALEH NAGAR,Basic Education,Nandpura
64,AGRA,P S VAR VAR,Basic Education,nagal assu
65,AGRA,P S PREM NAGAR,Basic Education,Kanhoi
66,ALIGARH,RAJKIYA KANYA INTER COLLEGE  KALAI,Basic Education,Balrampur
67,ALIGARH,RAJKIYA KANYA INTER COLLEGE  IGLAAS,Basic Education,Shihor
68,ALIGARH,NAURANGILAL RAJKIYA INTER COLLEGE ALIGARH,Basic Education,khitkari
69,ALIGARH,RAJKIYA KANYA INTER COLLEGE ALIGARH,Basic Education,nagal asha
70,ALIGARH,SMT. SHANTI DEVI RAJKIYA KANYA INTER COLLEGE DORAUMOD,Basic Education,Bonner
71,ALIGARH,RAJKIYA KANYA INTER COLLEGE GODHA,Basic Education,Comp0v0 Kodra
72,ALIGARH,SMT. REVATI GOYAL RAJKIYA KANYA INTER COLLEGE JATTARI,Basic Education,except
73,ALIGARH,RAJKIYA KANYA INTER COLLEGE NARAUNA,Basic Education,sujanpur
74,ALIGARH,RAJKIYA INTER COLLEGE VIDHIPUR SEHNAUL,Basic Education,companion
75,ALIGARH,RAJKIYA KANYA INTER COLLEGE CHANDOLA SUJANPUR,Basic Education,Dadons
76,ALIGARH,RAJKIYA KANYA INTER COLLEGE ATRAULI,Basic Education,Pishawa
77,ALIGARH,GAYATRI DEVI RAJKIYA INTER COLLEGE GORAI,Basic Education,Ramgarh Panjipur
78,ALIGARH,SAROJ SINGH RAJKIYA INTER COLLEGE GORAI,Basic Education,No. 12 City Area
79,ALIGARH,ABHINAV VIDYALAY CHALESAR,Basic Education,Ba. School No. 19 City Area
80,ALIGARH,PT. DEEN DAYAL UPADHAYA RAJKIYA MANDAL INETR COLLEGE BADESAR,Basic Education,Nanau Bridge
81,ALIGARH,KHER INTER COLLEGE KHER,Basic Education,Jartauli
82,ALIGARH,SHANKARANAND INETR COLLEGE VESAVAA,Basic Education,Gospur
83,ALIGARH,SHIVDAAN SINGH INTER COLLEGE IGLAAS,Basic Education,Kamalpur Maroutha
84,ALIGARH,SMB INETER COLLEGE ALIGARH,Basic Education,to bite
85,ALIGARH,HARILAL BARAHSAINI INTER COLLEGE ALIGARH,Basic Education,singhapur
86,ALIGARH,DS INTER COLLEGE ALIGARH,secondary education,Aligarh in front of clock tower
87,ALIGARH,GOPIRAM PALIVAAL INTER COLLEGE ALIGARH,secondary education,Atrauli Aligarh
88,ALIGARH,RAGHUVEER SAHAI INTER COLLEGE ALIGARH KP,secondary education,Narauna Atrauli Aligarh
89,ALIGARH,TIKARAM KANYA INTER COLLEGE ALIGARH,secondary education,Aligarh near Sasni Gate
90,ALIGARH,MAHESHWAR KANYA INTER COLLEGE ALIGARH,secondary education,Khair Aligarh
91,ALIGARH,UDAYSINGH JAIN KANYA INTER COLLEGE ALIGARH,secondary education,Naurangabad Aligarh
92,ALIGARH,CHIRANJILAL KANYA INTER COLLEGE ALIGARH,secondary education,Ramghat Road Aligarh
93,ALIGARH,RATANPREM DAV KANYA INTER COLLEGE ALIGARH,secondary education,Ramghat Road Aligarh
94,ALIGARH,BIHARILAL BHARTI INTERC COLLEGE PAALIMUKIMPUR,secondary education,Barah Dwari Aligarh
95,ALIGARH,NABAB SINGH CHAUHAN GRAMODAY INTER COLLEGE KAASIMPUR,secondary education,Iglas Aligarh
96,ALIGARH,RASHTRIYA INTER COLLEGE AKRABAAD,secondary education,Madar Gate Aligarh
97,ALIGARH,MGGS INTER COLLEGE VIJAYGADH,secondary education,Naurangabad Aligarh
98,ALIGARH,GANDHI SMARAK INTER COLLEGE BAJHERA BHARATPUR,secondary education,Gambhir Pura Aligarh
99,ALIGARH,PATEL SMARAK INTER COLLEGE JATTARI,secondary education,Atrauli Aligarh
100,ALIGARH,K AND E M R V INTER COLLEGE ATRAULI,secondary education,Kajraoth Aligarh
101,ALIGARH,JKB INTER COLLEGE KAZIMABAD,,
102,ALIGARH,RAGHUNANDAN INTER COLLEGE CHARRA,,
103,ALIGARH,LAGSAMA INTER COLLEGE GONDA,,
104,ALIGARH,LT. NAARSINGH INTER COLLEGE KUARSI,,
105,ALIGARH,VIDHUT PARISHAD KANYA INTER COLLEGE KASAMPUR,,
106,ALIGARH,COMPOSITE VIDHYALAY ELAMPUR,,
107,ALIGARH,PRATHMIK VIDHYALAY RAZAANAGAR,,
108,ALIGARH,"UCCH PRATHMIK VIDHYALAY MADRAAK, (K G B B MADRAAK)",,
109,ALIGARH,"PRATHMIK VIDHYALAY MANJURGADHI, ( K G B B MANJURGADHI)",,
110,ALIGARH,PURV MADHYAMIK VIDHYALAY BHUDA KISHANGADHI ( K G B B KISHANGADHI),,
111,ALIGARH,COMPOSITE VIDYALAY JARTOLI ( K G B B JARTAULI),,
112,ALIGARH,"UCCH PRATHMIK VIDHYALAY MADHAULI, (K G B B MADHAULI)",,
113,ALIGARH,PRATHMIK VIDHYALAY KHER NO. 1,,
114,ALIGARH,COMPOSITE VIDHYALAY KAASIMPUR,,
115,ALIGARH,PRATHMIK VIDYALAY PISAAVA,,
116,AMBEDKAR NAGAR,RAJKIYA BALIKA INTER COLLEGE AKABARPUR,Basic Education,Ramnagar
117,AMBEDKAR NAGAR,RAJKIYA VIDDUT PARISHAD INTER COLLEGE VIDDUT NAGAR,Basic Education,Ramnagar
118,AMBEDKAR NAGAR,RAJKIYA BALIKA INTER COLLEGE KURKI BAZAR,Basic Education,Ramnagar
119,AMBEDKAR NAGAR,RAJKIYA INTER COLLEGE AKABARPUR,Basic Education,Ramnagar
120,AMBEDKAR NAGAR,RAJKIYA BALIKA INTER COLLEGE TANDA,Basic Education,Ramnagar
121,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY PIHITIPUR,Basic Education,Ramnagar
122,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY KAHARA SULEMPUR,Basic Education,Jahangirganj
123,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY LAKHNPUR,Basic Education,Jahangirganj
124,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY TARAULI MUBARAKPUR,Basic Education,Jahangirganj
125,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY FARIDPUR KUTUBPUR,Basic Education,Jahangirganj
126,AMBEDKAR NAGAR,RAJKIYA U M VIDDYALAY DIYAVA MOHADDIPUR,Basic Education,Jahangirganj
127,AMBEDKAR NAGAR,RAJKIYA HIGH SCHOOL ASARAFPUR BARAWAN,Basic Education,Jalalpur
128,AMBEDKAR NAGAR,LALTA PRASHAD KANYA INTER COLLEGE TANDA,Basic Education,Jalalpur
129,AMBEDKAR NAGAR,RAMDEV JANTA INTER COLLEGE BANGAO,Basic Education,Jalalpur
130,AMBEDKAR NAGAR,JANTA INTER COLLEGE MAHRUA,Basic Education,Jalalpur
131,AMBEDKAR NAGAR,R D UCHH MADHYAMIK VIDDYALAY KURKI BAZAR,Basic Education,Bhianv
132,AMBEDKAR NAGAR,DR G K JETALI INTER COLLEGE AKABARPUR,Basic Education,Bhianv
133,AMBEDKAR NAGAR,RAM MILAN RAM BADAN INTER  COLLEGE NASEERPUR,Basic Education,Bhianv
134,AMBEDKAR NAGAR,SHRI RAM NARAYAN U M VIDDYALAY FULPUR,Basic Education,Bhianv
135,AMBEDKAR NAGAR,KAUMI INTER COLLEGE TANDA,Basic Education,Bhianv
136,AMBEDKAR NAGAR,MISHRI LAL AARYA KANYA INTER COLLEGE TANDA,Basic Education,Akbarpur
137,AMBEDKAR NAGAR,B N INTER COLLEGE AKABARPUR,Basic Education,Akbarpur
138,AMBEDKAR NAGAR,RAM AWADH JANTA INTER COLLEGE BARIYAVAN,Basic Education,Baskhar
139,AMBEDKAR NAGAR,SARDAR PATEL SMARAK INTER COLLEGE LAARPUR,Basic Education,Baskhar
140,AMBEDKAR NAGAR,BABA BARUA DAS INTER COLLEGE PARUIYA ASHRAM,Basic Education,Bhiti
141,AMBEDKAR NAGAR,HIRA LAL JAISAWAL INTER COLLEGE KICHAUCHA,Basic Education,Bhiti
142,AMBEDKAR NAGAR,MOHD SAFI INTER NATIONAL COLLEGE HANSWAR,Basic Education,Bhianv
143,AMBEDKAR NAGAR,SHRI RANGEYA RAGHAV IN TER COLLEGE HANSAWAR,Basic Education,Jahangirganj
144,AMBEDKAR NAGAR,H T INTER COLLEGE TANDA,Basic Education,Jahangirganj
145,AMBEDKAR NAGAR,JAI RAM VERMA BAPU SMARAK INTER COLLEGE  NAUSANDA,Basic Education,Jalalpur
146,AMBEDKAR NAGAR,ADARSH KRISHAK INTER COLLEGE KHUKHUTAR,Basic Education,Katehri
147,AMBEDKAR NAGAR,JANTA INTER COLLEGE UTRETHU ,Basic Education,Ramnagar
148,AMBEDKAR NAGAR,ADARSH JANTA INTER COLLLGE TANDA,Basic Education,Tanda
149,AMBEDKAR NAGAR,KISHAN INTER COLLLGE PAKDIBHOJPUR,Basic Education,Tanda
150,AMBEDKAR NAGAR,SARVODAY INTER COLLEGE KOTAWA MOHAMMADPUR,Basic Education,Tanda Town
151,AMBEDKAR NAGAR,BABA BARUADAS U M VIDDYALAY RASOOLPUR BAKARGANJ,secondary education,Vidyut Nagar Tanda
152,AMBEDKAR NAGAR,SANT KABIR INTER COLLEGE SAIDAPUR,secondary education,Tanda
153,AMBEDKAR NAGAR,S B NATIONAL INTER COLLEGE BASKHARI,secondary education,Tanda
154,AMBEDKAR NAGAR,METI LAL VIDDYA MANDIR INTER COLLEGE MALIPUR,secondary education,Tanda
155,AMBEDKAR NAGAR,S N P INTER COLLEGE INDAIPUR,secondary education,Tanda
156,AMBEDKAR NAGAR,P S SISANI AKHIPUR,secondary education,Attachment Market
157,AMBEDKAR NAGAR,U P S  SIKANDARPUR,secondary education,Akbarpur
158,AMBEDKAR NAGAR,C U P S PACHAUKH,secondary education,Tanda
159,AMBEDKAR NAGAR,P S MAUKH,secondary education,Tanda
160,AMBEDKAR NAGAR,P S AHETHA,secondary education,Jalalpur
161,AMBEDKAR NAGAR,U P S AINAWAN KHAS,secondary education,Hanswar
162,AMBEDKAR NAGAR,G P S ASSAWAN WAHIDPATTI,secondary education,Jalalpur
163,AMBEDKAR NAGAR,P S FATEHPUR,secondary education,Alaapur
164,AMBEDKAR NAGAR,U P S FATEHPUR,secondary education,Bhiti
165,AMBEDKAR NAGAR,P S RAMPUR BANJARAHA,secondary education,Bewana
166,AMETHI,PT. DEEN DAYAL UPADHYAY RAJKIY MODAL INTER COLLEGE DHARAULI AMETHI ,Basic Education,Amethi Block Amethi
167,AMETHI,K. C. R. C. INTER COLLEGE SHUKUL BAZAR AMETHI,Basic Education,Saraikhema Block Amethi
168,AMETHI,PT DEEN DYAL UPADHYAY RAJKIYA MODEL INTER COLLEG URAWA AMETHI,Basic Education,Amethi Block Amethi
169,AMETHI,UMARAMAN RAJKIY INTER COLLEGE ZAMO AMETHI,Basic Education,Benipur Block Amethi
170,AMETHI,RAJKIY INTER COLLEGE INHAUNA AMETHI,Basic Education,Jayas Block Bahadurpur
171,AMETHI,RAJKIY INTER COLLEGE JAYAS AMETHI,Basic Education,Mohana Block Bahadurpur
172,AMETHI,RAJKIY INTER COLLEGE TIKARMAFI  AMETHI,Basic Education,Shravanpur Amethi
173,AMETHI,RAJKIY INTER COLLEGE FURSATGANJ AMETHI,Basic Education,Udwa Block Bahadurpur
174,AMETHI,RAJKIY INTER COLLEGE RAJAFATEPUR AMETHI,Basic Education,SavangieBlock Bhadar
175,AMETHI,RAJKIY BALIKA INTER COLLEGE GAURIGANJ AMETHI,Basic Education,Dhema Block Bhadar
176,AMETHI,RAJKIY BALIKA INTER COLLEGE JAGDISHPUR AMETHI,Basic Education,Ismailpur Block Bhadar
177,AMETHI,RAJKIY BALIKA INTER COLLEGE JAMO AMETHI,Basic Education,Bhenwai Block Bhadar
178,AMETHI,RAJKIY BALIKA INTER COLLEGE JAYAS AMETHI,Basic Education,Ghatkaur Block Betua
179,AMETHI,RAJKIY BALIKA INTER COLLEGE DHEMA AMETHI,Basic Education,Semra Block Betua
180,AMETHI,RAJKIY BALIKA INTER COLLEGE MUSAFIRKHANA AMETHI,Basic Education,His block is Betua
181,AMETHI,RAJKIY BALIKA INTER COLLEGE SHAHGADH AMETHI,Basic Education,Bhusianwan Block Betua
182,AMETHI,RAJKIY BALIKA INTER COLLEGE SHUKUL BAZAR AMETHI,Basic Education,Pachehari Block Gauriganj
183,AMETHI,RAJKIY BALIKA INTER COLLEGE AMETHI,Basic Education,Saree Hriday Shah Block Gauriganj
184,AMETHI,SHRI NISHAD RAJ INTER COLLEGE KITIYAVA AMETHI,Basic Education,Madhavpur Block Gauriganj
185,AMETHI,RAJKIY BALIKA INTER COLLEGE SONARIKALA AMETHI,Basic Education,Bhatgawane Block Gauriganj
186,AMETHI,SHRI SARVODAY INTER COLLEGE PINDARA AMETHI,Basic Education,Palpur Block Jagdishpur
187,AMETHI,RAJKIY HIGH SCHOOL AMETHI,Basic Education,Daulatpur Lonhat Block Jagdishpur
188,AMETHI,SHRI AMBERAY INTER COLLEGE GAJANPUR DUVARIYA AMETHI,Basic Education,Gadaria Deeh Block Jagdishpur
189,AMETHI,SHRI DAYA NAND INTER COLLEGE GOKULA AMETHI,Basic Education,Palia West Block Jagdishpur
190,AMETHI,JANTA INTER COLLEGE RAMGANJ AMETHI,Basic Education,Katari Block Jamon
191,AMETHI,SHRI ASALDEV INTER COLLEGE PIPARPUR AMETHI,Basic Education,Babhaldrapur Block Jamon
192,AMETHI,GANDHI INTER COLLEGE KORARI LACHHANSHAH AMETHI,Basic Education,Ajabgarh Block Jamon
193,AMETHI,SHRI BHIMSEN INTER COLLEGE BADGAV AMETHI,Basic Education,Baraulia Block Jamon
194,AMETHI,SWAMI SANTANAND PUJARI INTER COLLEGE MISRAULI AMETHI,Basic Education,Pindra Block Mushafirkhana
195,AMETHI,INTER COLLEGE KALIKAN AMETHI,Basic Education,Dara Block Mushafirkhana
196,AMETHI,SHRI GANGA BAX DIVEDI  INTER COLLEGE HARDO AMETHI,Basic Education,Adhanpur Block Mushafirkhana
197,AMETHI,A. H. INTER COLLEGE JAGDISHPUR AMETHI,Basic Education,Kochit Block Mushafirkhana
198,AMETHI,INTER COLLEGE DHAURI AMETHI,Basic Education,Thengaha Block Sangrampur
199,AMETHI,RAJKIY HIGH SCHOOL SEMRAUTA AMETHI,Basic Education,Karnaipur Sangrampur
200,AMETHI,JANTA INTER COLLEGE MAVAYI AMETHI,Basic Education,Mahmoodpur
201,AMETHI,RANVEER INTER COLLEGE AMETHI,secondary education,Village and Post Jamo Amethi
202,AMETHI,RANANJAY INTER COLLEGE GAURIGANJ AMETHI,secondary education,Village and Post Dharoli Musafirkhana Amethi
203,AMETHI,INTER COLLEGE PANDARI AMETHI,secondary education,Shahgarh Amethi
204,AMETHI,A. H. INTER COLLEGE MUSHAFIRKHANA AMETHI,secondary education,Madhavpur Gauriganj Amethi
205,AMETHI,S. P. N. INTER COLLEGE TILOYI AMETHI,secondary education,Village and Post Jamo Amethi
206,AMETHI,P S SARAYHDYASHAH AMETHI,secondary education,Musafirkhana Amethi
207,AMETHI,COMPOSITE VIDYALAY PURE GORAN,secondary education,Sonarikala Bhadar Amethi
208,AMETHI,COMPOSITE VIDYALAY VISHUNDASPUR AMETHI,secondary education,Inhauna Singhpur Amethi
209,AMETHI,COMPOSITE VIDYALAY HARAKHPUR AMETHI,secondary education,Rajafattepur Sihpur Amethi
210,AMETHI,P S  NANDAUR AMETHI,secondary education,Fursatganj Bahadurpur Amethi
211,AMETHI,U P S BANVARIPUR,secondary education,Tikarmafi Bhadar Amethi
212,AMETHI,P S MADHUPUR,secondary education,Hariharpur Shahgarh Amethi
213,AMETHI,P S PURE BESAN,secondary education,Kanjas Musafirkhana Amethi
214,AMETHI,P S SAMPATPUR,secondary education,Amethi
215,AMETHI,U P S THAURA,secondary education,Mangrauli Jagdishpur Amethi
216,AMROHA,"RAJKIYA INTER COLLEGE, AMROHA",Basic Education,Secunderabad Naugawan Sadat
217,AMROHA,J S HINDU INTER COLLEGE AMROHA,Basic Education,UP Primary School Check
218,AMROHA,"KUNDAN MODEL INTER COLLEGE, AMROHA",Basic Education,SV Kailasa
219,AMROHA,"A K K INTER COLLEGE, AMROHA",Basic Education,sv. zoya
220,AMROHA,"A W FAIZE AAM INTER COLLEGE, AMROHA",Basic Education,Girls Upper Primary School Dhanaura
221,AMROHA,"RASTRIYA INTER COLLEGE, JABDA",Basic Education,Sv. Dioti
222,AMROHA,"K P INTER COLLEGE, SAADPUR",Basic Education,Sanvi Shishowali
223,AMROHA,"INTERMEDIATE INTER COLLEGE, JAMNAKHAS",Basic Education,Samv. girl child
224,AMROHA,"RAJKIYA BALIKA INTER COLLEGE, AMROHA",Basic Education,Secunderabad Gajraula
225,AMROHA,"AALE AHMAD GA INTER COLLEGE, AMROHA",Basic Education,SV Kua Kheda
226,AMROHA,"SHARMA DEVI INTER COLLEGE, AMROHA",Basic Education,Samvi Chakanwala
227,AMROHA,"JANTA INTER COLLEGE, PATEI KHALSA",Basic Education,No. Sihali Jangir
228,AMROHA,"NEHARU SMARAK INTER COLLEGE, RAJABPUR",Basic Education,Sanvi Ujhari1
229,AMROHA,"SHIKH INTER COLLEGE, NARANGPUR",Basic Education,SV Saidangali1
230,AMROHA,"A K G INTER COLLEGE, JALALPUR GHANA",Basic Education,SV Kanya Lal Bagh
231,AMROHA,"KISHAN INTER COLLEGE, DIYUDHI, WAJIDPUR",Basic Education,No. Shoharka Nabavpura
232,AMROHA,"TUKI INTER COLLEGE, PALAULA",Basic Education,Secunderabad Shekhupur Jhakri
233,AMROHA,"BHAGWAT SHARAN INTER COLLGE, JOYA",Basic Education,Secunderabad
234,AMROHA,"KRISHAK INTER COLLEG, KOTHI KHIDMATPUR",Basic Education,Rev. Sultanther
235,AMROHA,"JANTA INTER COLLEGE, MUDHAKHEDA",Basic Education,Samvi Khungawali
236,AMROHA,"KISHAN INTER COLLEGE, KHADGOOJAR",Basic Education,SV Sakatpur
237,AMROHA,"RAJKIYA KANYA INTER COLLEGE, GAJRAUALA",Basic Education,संवि0 रुहालू
238,AMROHA,"SMT SHUKH DEVI INTER COLLEGE, HASAN PUR",Basic Education,SV Adampur
239,AMROHA,"KISHAN INTER COLLEGE,TAHARPUR",Basic Education,Samvi Burawali
240,AMROHA,"DAYANAND INTER COLLEGE, SAIDAN GALI",Basic Education,Sanv Gangacholi
241,AMROHA,"NEHARU MEMORIAL INTER COLLEGE, DHAWARSI",Basic Education,S.No. G.I.
242,AMROHA,"RAJKIYA KANYA INTER COLLEGE, HASANPUR",Basic Education,Asst Ashrafpur Fezganj
243,AMROHA,"AMBEDKAR RAJKIYA INTER COLLEGE, UJHARI",Basic Education,S.V. Alampur Camp
244,AMROHA,"GRAMODAY INTER COLLEGE, GANGESHWARI",Basic Education,Secunderabad Allipur Khadar
245,AMROHA,RAJKIYA HIGH SCHOOLE HASANPUR KATIYA,Basic Education,SV Didauli
246,AMROHA,"RAJKIYA UCHH MADHYAMIK VIDDYALAY, ALLIPUR KHADAR",Basic Education,Sanvi Ikaunda
247,AMROHA,"RAJKIYA UCHH MADHYAMIK VIDDYALAY, BACHARAU",Basic Education,S.V. Sultanpur
248,AMROHA,"RAJKIYA UCHH MADHYAMIK VIDDYALAY, RAHRAI",Basic Education,Secunderabad Nanheda Alyarpur
249,AMROHA,"RAJKIYA UCHH MADHYAMIK VIDDYALAY, KHUGAWALI",Basic Education,Sanvi Borwari
250,AMROHA,"GANDHI VIDDYALAY INTER COLLEGE, DHANAURA",Basic Education,Sv Bijra
251,AMROHA,"RAJKIYA UCHH MADHYAMIK VIDDYALAY, YAKOOB PUR",secondary education,Government Inter College Amroha
252,AMROHA,"RASTRIYA INTER COLLEGE, DHNAURA",secondary education,J.S. Hindu Inter College Amroha
253,AMROHA,"RAJKIYA INTER COLLEGE, MITHHANPUR KALA",secondary education,"Sikh Inter College, Narangpur"
254,AMROHA,"PT DEEN DAYAL RAJKIYA MODEL SCHOOL, BUDHAN PUR",secondary education,bhagwat sharan inter college zoya
255,AMROHA,"PT DEEN DAYAL RAJKIYA MODEL SCHOOL, GAJASHWI",secondary education,Krishak Inter College Kothi Khidmatpur
256,AMROHA,COMPOSITE SCHOOL YAHIYAPUR,secondary education,Nehru Memo0 Inter College Dhawarsi
257,AMROHA,COMPOSITE SCHOOL PILAKUND,secondary education,Chhatar Singh Sarvesh Devi Inter College Mangrauli Hasanpur
258,AMROHA,COMPOSTE SCHOOL VASIPUR,secondary education,Kisan Inter College Taharpur
259,AMROHA,PRATAHMIK VIDDYALAY KAPSUA,secondary education,Dayanand Inter College Saidangali Saidangali
260,AMROHA,COMPOSITE SCHOOL FULPUR,secondary education,National Inter College Jabda
261,AMROHA,COMPOSITE SCHOOL CHAPANA,secondary education,Shri Ram Kisan Inter College Badshahpur
262,AMROHA,COMPOSITE SCHOOL KARANPUR MAFI,secondary education,Janta Inter College Mudhakheda
263,AMROHA,COMPOSITE SCHOOL DAYAWALI KHALSA,secondary education,Shri Gandhi Vidyalay Inter College Dhanora
264,AMROHA,COMPOSITE SCHOOL AMROHA DEHAT,secondary education,National Inter College Dhanora
265,AMROHA,COMPOSITE SCHOOL GAJRAUL PRATAHM,secondary education,Gyan Bharti Inter College Gajraula
